진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 경기 , 하남시 , 남 ,50,384,15970040
2018,ADHD, 경기 , 하남시 , 여 ,12,62,2604790
2018,ADHD, 경기 , 군포시 , 남 ,70,588,39837960
2018,ADHD, 경기 , 군포시 , 여 ,27,184,13787960
2018,ADHD, 경기 , 남양주시 , 남 ,248,1984,99526400
2018,ADHD, 경기 , 남양주시 , 여 ,51,396,19160400
2018,ADHD, 경기 , 의왕시 , 남 ,12,66,2378400
2018,ADHD, 경기 , 의왕시 , 여 ,0,0,0
2018,ADHD, 경기 , 시흥시 , 남 ,72,588,20957580
2018,ADHD, 경기 , 시흥시 , 여 ,12,66,2837060
2018,ADHD, 경기 , 오산시 , 남 ,129,1259,72087770
2018,ADHD, 경기 , 오산시 , 여 ,25,255,12760350
2018,ADHD, 경기 , 고양덕양구 , 남 ,194,1719,76676700
2018,ADHD, 경기 , 고양덕양구 , 여 ,49,326,15677400
2018,ADHD, 경기 , 고양일산서구 , 남 ,728,6668,277562950
2018,ADHD, 경기 , 고양일산서구 , 여 ,114,954,36376300
2018,ADHD, 경기 , 고양일산동구 , 남 ,655,5276,260058960
2018,ADHD, 경기 , 고양일산동구 , 여 ,150,985,47848600
2018,ADHD, 경기 , 용인기흥구 , 남 ,133,1240,73418780
2018,ADHD, 경기 , 용인기흥구 , 여 ,51,278,9828590
2018,ADHD, 경기 , 용인수지구 , 남 ,476,4328,196189820
2018,ADHD, 경기 , 용인수지구 , 여 ,180,1622,70671800
2018,ADHD, 경기 , 용인처인구 , 남 ,58,412,14275680
2018,ADHD, 경기 , 용인처인구 , 여 ,0,0,0
2018,ADHD, 경기 , 이천시 , 남 ,62,524,37572880
2018,ADHD, 경기 , 이천시 , 여 ,11,188,11736360
2018,ADHD, 경기 , 파주시 , 남 ,83,596,36666480
2018,ADHD, 경기 , 파주시 , 여 ,41,204,12861830
2018,ADHD, 경기 , 김포시 , 남 ,144,1144,58865710
2018,ADHD, 경기 , 김포시 , 여 ,31,191,8991200
2018,ADHD, 경기 , 안성시 , 남 ,36,244,14473270
2018,ADHD, 경기 , 안성시 , 여 ,0,0,0
2018,ADHD, 경기 , 화성시 , 남 ,536,5128,348760790
2018,ADHD, 경기 , 화성시 , 여 ,118,967,69478320
2018,ADHD, 경기 , 광주시 , 남 ,278,2942,184493880
2018,ADHD, 경기 , 광주시 , 여 ,82,902,52029680
2018,ADHD, 경기 , 양주시 , 남 ,15,94,3769580
2018,ADHD, 경기 , 양주시 , 여 ,0,0,0
2018,ADHD, 경기 , 포천시 , 남 ,0,0,0
2018,ADHD, 경기 , 포천시 , 여 ,0,0,0
2018,ADHD, 경기 , 여주시 , 남 ,46,513,21784580
2018,ADHD, 경기 , 여주시 , 여 ,15,153,6677360
2018,ADHD, 강원 , 고성군 , 남 ,0,0,0
2018,ADHD, 강원 , 고성군 , 여 ,0,0,0
2018,ADHD, 강원 , 양구군 , 남 ,0,0,0
2018,ADHD, 강원 , 양구군 , 여 ,0,0,0
2018,ADHD, 강원 , 양양군 , 남 ,0,0,0
2018,ADHD, 강원 , 양양군 , 여 ,0,0,0
2018,ADHD, 강원 , 영월군 , 남 ,0,0,0
2018,ADHD, 강원 , 영월군 , 여 ,0,0,0
2018,ADHD, 강원 , 인제군 , 남 ,0,0,0
2018,ADHD, 강원 , 인제군 , 여 ,0,0,0
